Address A,Port A,Address B,Port B,Packets A→B,Bytes A→B,Packets B→A,Bytes B→A,Duration (s),Bits/s A→B,Bits/s B→A,Speed A→B,Speed B→A
13.126.88.249,443,192.168.2.126,65001,0,0,15,1583,0.804,0,15753,0.000 kbps,15.753 kbps
192.168.2.126,60197,3.6.50.63,443,14,1660,0,0,2.393,5550,0,5.550 kbps,0.000 kbps
192.168.2.126,49130,3.6.50.63,443,39,6162,0,0,3.526,13980,0,13.980 kbps,0.000 kbps
192.168.2.126,58896,3.6.50.63,443,126,130322,0,0,4.847,215081,0,215.081 kbps,0.000 kbps
192.168.2.126,61839,3.6.50.63,443,62,10663,0,0,6.356,13420,0,13.420 kbps,0.000 kbps
192.168.2.126,42604,3.109.75.201,443,60,10340,0,0,6.517,12692,0,12.692 kbps,0.000 kbps
192.168.2.126,52328,3.6.50.63,443,128,134810,0,0,6.100,176793,0,176.793 kbps,0.000 kbps
192.168.2.126,39022,3.7.203.24,443,122,131566,0,0,5.766,182525,0,182.525 kbps,0.000 kbps
192.168.2.126,52410,3.7.203.24,443,121,130052,0,0,5.168,201309,0,201.309 kbps,0.000 kbps
192.168.2.126,50657,3.109.75.201,443,123,130157,0,0,4.998,208320,0,208.320 kbps,0.000 kbps
192.168.2.126,33230,3.6.50.63,443,125,131727,0,0,5.699,184901,0,184.901 kbps,0.000 kbps
192.168.2.126,43955,3.6.50.63,443,126,133242,0,0,5.467,194980,0,194.980 kbps,0.000 kbps
192.168.2.126,44613,3.6.50.63,443,129,134174,0,0,5.628,190723,0,190.723 kbps,0.000 kbps
192.168.2.126,56133,3.109.75.201,443,125,133187,0,0,5.647,188680,0,188.680 kbps,0.000 kbps
192.168.2.126,40304,3.7.203.24,443,123,130159,0,0,5.374,193745,0,193.745 kbps,0.000 kbps
